Technology,Primary_Vendor,Estimated_Accounts,Estimated_Contacts,Geography,Source_Type,Confidence_Score,Last_Verified,Research_Batch
PeopleSoft,Oracle,85000,620000,Global,Original Sheet Remaining,High,2026-05-12,38
Workday Financial Management,Workday,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
BlackLine,BlackLine,12000,95000,Global,Original Sheet Remaining,High,2026-05-12,38
Adaptive Insights,Workday,18000,120000,Global,Original Sheet Remaining,High,2026-05-12,38
Coupa Procurement,Coupa,8500,72000,Global,Original Sheet Remaining,High,2026-05-12,38
ADP Workforce Now,ADP,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
UKG Pro,UKG,85000,620000,Global,Original Sheet Remaining,High,2026-05-12,38
Ceridian Dayforce,Dayforce,42000,320000,Global,Original Sheet Remaining,High,2026-05-12,38
BambooHR,BambooHR,85000,520000,Global,Original Sheet Remaining,High,2026-05-12,38
Paylocity,Paylocity,42000,320000,Global,Original Sheet Remaining,High,2026-05-12,38
Salesforce CRM,Salesforce,320000,2800000,Global,Original Sheet Remaining,High,2026-05-12,38
Microsoft Dynamics CRM,Microsoft,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
Zoho CRM,Zoho,420000,2200000,Global,Original Sheet Remaining,High,2026-05-12,38
SugarCRM,SugarCRM,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
Pipedrive CRM,Pipedrive,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
HubSpot Marketing Hub,HubSpot,250000,1800000,Global,Original Sheet Remaining,High,2026-05-12,38
Marketo Engage,Adobe,85000,620000,Global,Original Sheet Remaining,High,2026-05-12,38
Pardot,Salesforce,42000,320000,Global,Original Sheet Remaining,High,2026-05-12,38
Eloqua,Oracle,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
Mailchimp,Intuit,18000000,85000000,Global,Original Sheet Remaining,High,2026-05-12,38
Zendesk Support,Zendesk,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
Freshdesk,Freshworks,250000,1800000,Global,Original Sheet Remaining,High,2026-05-12,38
ServiceNow,ServiceNow,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
Jira Service Management,Atlassian,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
ManageEngine ServiceDesk,Zoho,420000,2200000,Global,Original Sheet Remaining,High,2026-05-12,38
VMware ESXi,VMware,850000,4200000,Global,Original Sheet Remaining,High,2026-05-12,38
Citrix Virtual Apps,Cloud Software Group,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
Hyper-V,Microsoft,850000,5200000,Global,Original Sheet Remaining,High,2026-05-12,38
Red Hat Enterprise Linux,Red Hat,1200000,6200000,Global,Original Sheet Remaining,High,2026-05-12,38
Ubuntu Server,Canonical,4200000,18000000,Global,Original Sheet Remaining,High,2026-05-12,38
Tableau Server,Salesforce,850000,5200000,Global,Original Sheet Remaining,High,2026-05-12,38
QlikView,Qlik,180000,1200000,Global,Original Sheet Remaining,High,2026-05-12,38
MicroStrategy,MicroStrategy,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
SAP BusinessObjects,SAP,85000,620000,Global,Original Sheet Remaining,High,2026-05-12,38
IBM Cognos,IBM,42000,320000,Global,Original Sheet Remaining,High,2026-05-12,38
Splunk Enterprise,Cisco,120000,850000,Global,Original Sheet Remaining,High,2026-05-12,38
IBM QRadar,IBM,42000,320000,Global,Original Sheet Remaining,High,2026-05-12,38
ArcSight,OpenText,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
Rapid7 InsightVM,Rapid7,18000,150000,Global,Original Sheet Remaining,High,2026-05-12,38
Tenable Nessus,Tenable,850000,4200000,Global,Original Sheet Remaining,High,2026-05-12,38
