Category,Sub-Category,Product
"ERP, Finance & Accounting",Core ERP,SAP ERP
"ERP, Finance & Accounting",Core ERP,SAP ECC
"ERP, Finance & Accounting",Core ERP,SAP R/3
"ERP, Finance & Accounting",Core ERP,SAP Business One
"ERP, Finance & Accounting",Core ERP,Oracle ERP
"ERP, Finance & Accounting",Core ERP,JD Edwards
"ERP, Finance & Accounting",Core ERP,Epicor ERP
"ERP, Finance & Accounting",Core ERP,Sage ERP
"ERP, Finance & Accounting",Core ERP,Infor ERP
"ERP, Finance & Accounting",Core ERP,Microsoft Dynamics 365 ERP
"ERP, Finance & Accounting",Core ERP,Microsoft Dynamics AX
"ERP, Finance & Accounting",Core ERP,Microsoft Dynamics NAV
"ERP, Finance & Accounting",Accounting & SMB Finance,QuickBooks
"ERP, Finance & Accounting",Accounting & SMB Finance,QuickBooks Online
"ERP, Finance & Accounting",Accounting & SMB Finance,QuickBooks Payments
"ERP, Finance & Accounting",Accounting & SMB Finance,Xero
"ERP, Finance & Accounting",Accounting & SMB Finance,FreshBooks
"ERP, Finance & Accounting",Accounting & SMB Finance,Sage Intacct
"ERP, Finance & Accounting",Accounting & SMB Finance,Sage Peachtree Quantum
"ERP, Finance & Accounting",Financial Management Suites,NetSuite
"ERP, Finance & Accounting",Financial Management Suites,BlackLine
CRM & Sales Stack,Enterprise CRM,Salesforce CRM
CRM & Sales Stack,Enterprise CRM,Microsoft Dynamics CRM
CRM & Sales Stack,Enterprise CRM,Oracle CRM
CRM & Sales Stack,Enterprise CRM,SAP CRM
CRM & Sales Stack,Enterprise CRM,Siebel CRM
CRM & Sales Stack,Enterprise CRM,PeopleSoft CRM
CRM & Sales Stack,Enterprise CRM,Amdocs CRM
CRM & Sales Stack,Enterprise CRM,NetSuite CRM
CRM & Sales Stack,Enterprise CRM,Workbooks CRM
CRM & Sales Stack,Enterprise CRM,Onyx CRM
CRM & Sales Stack,Mid-market & Niche CRM,Zoho CRM
CRM & Sales Stack,Mid-market & Niche CRM,SugarCRM
CRM & Sales Stack,Mid-market & Niche CRM,GoldMine CRM
CRM & Sales Stack,Mid-market & Niche CRM,ACT CRM
CRM & Sales Stack,Mid-market & Niche CRM,OnContact CRM
CRM & Sales Stack,Mid-market & Niche CRM,HubSpot CRM
CRM & Sales Stack,Mid-market & Niche CRM,Pivotal CRM
CRM & Sales Stack,Mid-market & Niche CRM,SalesNexus CRM
CRM & Sales Stack,Mid-market & Niche CRM,Prophet CRM
CRM & Sales Stack,Mid-market & Niche CRM,TeamWox CRM
CRM & Sales Stack,Mid-market & Niche CRM,Insightly CRM
CRM & Sales Stack,Sales Cloud & CPQ,Salesforce Sales Cloud
CRM & Sales Stack,Sales Cloud & CPQ,Salesforce CPQ
CRM & Sales Stack,Sales Cloud & CPQ,Salesforce Pardot
CRM & Sales Stack,Sales Cloud & CPQ,Salesforce Heroku
"Marketing Automation, CX & Commerce",Marketing Automation,Marketo
"Marketing Automation, CX & Commerce",Marketing Automation,Eloqua
"Marketing Automation, CX & Commerce",Marketing Automation,Salesforce Marketing Cloud
"Marketing Automation, CX & Commerce",Marketing Automation,HubSpot Marketing Hub
"Marketing Automation, CX & Commerce",Marketing Automation,Drift
"Marketing Automation, CX & Commerce",E-commerce Platforms,Shopify
"Marketing Automation, CX & Commerce",E-commerce Platforms,Magento
"Marketing Automation, CX & Commerce",E-commerce Platforms,WooCommerce
"Marketing Automation, CX & Commerce",E-commerce Platforms,Stripe
"Marketing Automation, CX & Commerce",E-commerce Platforms,PayPal
"HR, HCM, HRMS & Workforce",HRMS Suites,SAP SuccessFactors
"HR, HCM, HRMS & Workforce",HRMS Suites,Workday
"HR, HCM, HRMS & Workforce",HRMS Suites,Infor HCM
"HR, HCM, HRMS & Workforce",HR Point Solutions,BambooHR
"HR, HCM, HRMS & Workforce",HR Point Solutions,Kronos
"HR, HCM, HRMS & Workforce",Payroll & Workforce,ADP
Cloud Infrastructure & IaaS/PaaS,Hyperscaler Platforms,AWS
Cloud Infrastructure & IaaS/PaaS,Hyperscaler Platforms,Microsoft Azure
Cloud Infrastructure & IaaS/PaaS,Hyperscaler Platforms,Google Cloud
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon EC2
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon S3
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon RDS
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon Redshift
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon ElastiCache
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon Glacier
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon Elastic Beanstalk
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon Elastic Load Balancing
Cloud Infrastructure & IaaS/PaaS,AWS Services,Amazon SimpleDB
Cloud Infrastructure & IaaS/PaaS,Other Cloud Infra,Oracle Cloud
Cloud Infrastructure & IaaS/PaaS,Other Cloud Infra,Microsoft RDS
Cloud Infrastructure & IaaS/PaaS,Other Cloud Infra,Operating Systems
Cloud Infrastructure & IaaS/PaaS,Other Cloud Infra,Virtualization Software
"Data, BI, Big Data & Analytics",BI & Analytics,Microsoft Power BI
"Data, BI, Big Data & Analytics",BI & Analytics,QlikView
"Data, BI, Big Data & Analytics",BI & Analytics,IBM SPSS
"Data, BI, Big Data & Analytics",BI & Analytics,SAP BusinessObjects BI
"Data, BI, Big Data & Analytics",BI & Analytics,SAP Crystal Server
"Data, BI, Big Data & Analytics",Big Data & Platforms,Hadoop
"Data, BI, Big Data & Analytics",Big Data & Platforms,Apache Spark
"Data, BI, Big Data & Analytics",Integration & ETL,Informatica
Databases & Data Management,Relational DBMS,Microsoft SQL Server
Databases & Data Management,Relational DBMS,IBM DB2 (DBMS)
Databases & Data Management,Relational DBMS,Oracle Database
Databases & Data Management,Relational DBMS,Sybase DBMS
Databases & Data Management,Relational DBMS,SAP Sybase ASE
Databases & Data Management,Relational DBMS,Microsoft Access
Databases & Data Management,NoSQL & New-gen,MongoDB
Databases & Data Management,Mainframe & Legacy Data,IBM Mainframe
Databases & Data Management,Mainframe & Legacy Data,AS/400 & iSeries
"Cybersecurity, Network & Infrastructure Management",Security Software,Websense
"Cybersecurity, Network & Infrastructure Management",Security Software,McAfee
"Cybersecurity, Network & Infrastructure Management",Security Software,Symantec
"Cybersecurity, Network & Infrastructure Management",Security Software,Tenable
"Cybersecurity, Network & Infrastructure Management",Security Software,Veracode
"Cybersecurity, Network & Infrastructure Management",Security Software,Network Security Software
"Cybersecurity, Network & Infrastructure Management",Network & Systems Management,Cisco
"Cybersecurity, Network & Infrastructure Management",Network & Systems Management,NetApp
