Technology,Primary_Vendor,Estimated_Accounts,Estimated_Contacts,Geography,Source_Type,Confidence_Score,Last_Verified,Research_Batch
SAP ERP,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
SAP ECC,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
SAP R/3,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
SAP Business One,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Oracle ERP,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
JD Edwards,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Epicor ERP,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Sage ERP,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Infor ERP,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Microsoft Dynamics 365 ERP,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Microsoft Dynamics AX,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Microsoft Dynamics NAV,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
QuickBooks,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
QuickBooks Online,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
QuickBooks Payments,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Xero,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
FreshBooks,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Sage Intacct,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Sage Peachtree Quantum,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
NetSuite,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
BlackLine,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Salesforce CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Microsoft Dynamics CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Oracle CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
SAP CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Siebel CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
PeopleSoft CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Amdocs CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
NetSuite CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Workbooks CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Onyx CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Zoho CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
SugarCRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
GoldMine CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
ACT CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
OnContact CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
HubSpot CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Pivotal CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
SalesNexus CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Prophet CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
TeamWox CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Insightly CRM,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Salesforce Sales Cloud,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Salesforce CPQ,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
Salesforce Pardot,From Original Sheet,,,Global,Original Sheet Pending,Pending Research,2026-05-12,37
