Technology,Primary_Vendor,Estimated_Accounts,Estimated_Contacts,Geography,Source_Type,Confidence_Score,Last_Verified,Research_Batch
CA Service Desk Manager,Broadcom,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
BMC Remedy,BMC,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Tivoli Monitoring,IBM,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Micro Focus Operations Manager,OpenText,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
SolarWinds NPM,SolarWinds,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
BizTalk Server,Microsoft,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
TIBCO EMS,Cloud Software Group,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Informatica PowerCenter,Informatica,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Oracle SOA Suite,Oracle,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
IBM Integration Bus,IBM,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Commvault,Commvault,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Veritas NetBackup,Cohesity,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
EMC Data Domain,Dell Technologies,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Hitachi Content Platform,Hitachi Vantara,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Avaya Aura,Avaya,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Mitel MiVoice,Mitel,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Riverbed SteelHead,Riverbed,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Arista EOS,Arista Networks,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
PeopleSoft HCM,Oracle,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Oracle E-Business Suite,Oracle,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Lawson ERP,Infor,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Deltek Vision,Deltek,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
GE Centricity,GE HealthCare,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Cerner PowerChart,Oracle Health,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
MEDHOST,MEDHOST,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Greenway Health,Greenway Health,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
CA Automic,Broadcom,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Micro Focus LoadRunner,OpenText,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
GitLab Self-Managed,GitLab,180000,1200000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Perforce Helix,Perforce,85000,620000,Global,Original Sheet Final Remaining,High,2026-05-12,41
IBM Notes,IBM,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
OpenText Documentum,OpenText,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Laserfiche,Laserfiche,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
OnBase,Hyland,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Netsuite SuiteCommerce,Oracle,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
SAP Customer Experience,SAP,12000,95000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Oracle Retail,Oracle,18000,150000,Global,Original Sheet Final Remaining,High,2026-05-12,41
Retail Pro,Retail Pro,42000,320000,Global,Original Sheet Final Remaining,High,2026-05-12,41
